Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Order_id,Customer_id,Product_id,Shipment_id
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0.0,41.9136,51601595-e403-4d93-80c3-fb71706d646e,6f930ab4-8e89-42e9-8dfb-056e0dd36c3e,1a643d48-a302-4f67-baea-ea47160533b7,d17ee044-556e-44b9-9668-d062ffaba30a
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3,0.0,219.582,51601595-e403-4d93-80c3-fb71706d646e,6f930ab4-8e89-42e9-8dfb-056e0dd36c3e,c1501176-6208-4087-9c61-6d1d04993c21,d17ee044-556e-44b9-9668-d062ffaba30a
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.0,6.8714,6bcd80da-a1fb-4ff7-852a-7ef5d4f27fb7,aef2ab30-382b-42aa-8416-a34358d7eeb1,396079af-2d9a-4a5c-a4b9-c518258c4e5a,ce33e83b-7c80-420f-a62c-7587d4a3c1f4
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,957.5775,5,0.45,-383.031,24d1b1d4-ef2d-48ce-bae5-1b9c9a4ec5b1,b28ab301-d5e2-40d8-aaf9-84782a87d796,5116f1a6-0127-4865-9bac-29823fab25ea,1b0af99d-06c3-448f-bb73-a47e0a5ae53b
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.368,2,0.2,2.5164,24d1b1d4-ef2d-48ce-bae5-1b9c9a4ec5b1,b28ab301-d5e2-40d8-aaf9-84782a87d796,b1035e3a-d289-47fd-997c-678681c45782,1b0af99d-06c3-448f-bb73-a47e0a5ae53b
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,7,0.0,14.1694,56168f37-1a8b-4527-850a-c6a7dab8a49a,60ea9fdf-0813-4a78-b77a-4bdfd1c21b7f,a84c2a8a-3c6f-4a96-8a97-761ea48fc42c,70db6935-5f5b-4830-85e9-9ab39fff036d
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4,0.0,1.9656,56168f37-1a8b-4527-850a-c6a7dab8a49a,60ea9fdf-0813-4a78-b77a-4bdfd1c21b7f,e1e2ad17-6d85-425e-874e-dc4ccc3118ff,70db6935-5f5b-4830-85e9-9ab39fff036d
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,907.152,6,0.2,90.7152,56168f37-1a8b-4527-850a-c6a7dab8a49a,60ea9fdf-0813-4a78-b77a-4bdfd1c21b7f,cc4243b2-972f-46ae-99a0-79ad1b2b02e7,70db6935-5f5b-4830-85e9-9ab39fff036d
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.504,3,0.2,5.7825,56168f37-1a8b-4527-850a-c6a7dab8a49a,60ea9fdf-0813-4a78-b77a-4bdfd1c21b7f,c1973895-6814-4ddb-bc02-1d14f62e52f9,70db6935-5f5b-4830-85e9-9ab39fff036d
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,114.9,5,0.0,34.47,56168f37-1a8b-4527-850a-c6a7dab8a49a,60ea9fdf-0813-4a78-b77a-4bdfd1c21b7f,1dca2f11-e5d6-478f-ada8-1bf610f3bcb4,70db6935-5f5b-4830-85e9-9ab39fff036d
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,1706.184,9,0.2,85.3092,56168f37-1a8b-4527-850a-c6a7dab8a49a,60ea9fdf-0813-4a78-b77a-4bdfd1c21b7f,5116f1a6-0127-4865-9bac-29823fab25ea,70db6935-5f5b-4830-85e9-9ab39fff036d
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,911.424,4,0.2,68.3568,56168f37-1a8b-4527-850a-c6a7dab8a49a,60ea9fdf-0813-4a78-b77a-4bdfd1c21b7f,cc4243b2-972f-46ae-99a0-79ad1b2b02e7,70db6935-5f5b-4830-85e9-9ab39fff036d
Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,15.552,3,0.2,5.4432,d53448cd-2565-4d58-b4aa-fb6b2670d7bd,3d86c264-3d37-4b9c-95c1-03fc8c05a587,efe32969-3c1a-4c37-a0ae-35295a30cbb7,cf5f2a7e-d1a5-43d7-a806-655204418e2a
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,407.976,3,0.2,132.5922,68f1cef5-8d92-4723-ad3e-8257dcc724f5,3600afaf-188a-47a5-ade4-e94cb2becf98,c1973895-6814-4ddb-bc02-1d14f62e52f9,561afaf7-13c5-47dc-87da-e22168510d03
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,62cc9898-aecf-4fbf-b145-19efdf754bb0,97cd9bc9-5dbe-47b8-9147-9a61b0c7b63b,1dca2f11-e5d6-478f-ada8-1bf610f3bcb4,214c026e-7fb4-45fc-aef5-0e37a6e288a5
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,62cc9898-aecf-4fbf-b145-19efdf754bb0,97cd9bc9-5dbe-47b8-9147-9a61b0c7b63b,c1973895-6814-4ddb-bc02-1d14f62e52f9,214c026e-7fb4-45fc-aef5-0e37a6e288a5
Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,a5449f7a-8e10-4614-8e25-a3f5ac2b2eef,c1cd4669-69df-45b0-993f-c690f63f061b,b1035e3a-d289-47fd-997c-678681c45782,725cc39d-b423-4263-b2a8-4a168991dd3a
Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,55.5,2,0.0,9.99,1faff0d8-c912-4c6a-8b57-9b6f1842bfb6,54d8ac39-6cc7-4921-945f-70b65a23e14f,b1035e3a-d289-47fd-997c-678681c45782,a34e510c-449f-4aac-ba85-54621fb48ade
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,8.56,2,0.0,2.4824,11efbf2c-0a64-43b5-8141-65d0e153884d,7e6bff89-615d-4b1f-9bac-a4c9265da3c0,e1e2ad17-6d85-425e-874e-dc4ccc3118ff,d8449fc4-73fe-49c3-b34b-80e3fe869bef
Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,213.48,3,0.2,16.011,11efbf2c-0a64-43b5-8141-65d0e153884d,7e6bff89-615d-4b1f-9bac-a4c9265da3c0,cc4243b2-972f-46ae-99a0-79ad1b2b02e7,d8449fc4-73fe-49c3-b34b-80e3fe869bef
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4,0.2,7.384,11efbf2c-0a64-43b5-8141-65d0e153884d,7e6bff89-615d-4b1f-9bac-a4c9265da3c0,c1973895-6814-4ddb-bc02-1d14f62e52f9,d8449fc4-73fe-49c3-b34b-80e3fe869bef
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.46,7,0.0,5.0596,caf1e41a-7ab9-496b-b389-a7d907ec6306,4f51be4f-c0b6-418a-994a-174cb45f1853,e1e2ad17-6d85-425e-874e-dc4ccc3118ff,0ad530ce-53d2-454b-a3c8-bc71d50af2a7
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,caf1e41a-7ab9-496b-b389-a7d907ec6306,4f51be4f-c0b6-418a-994a-174cb45f1853,1dca2f11-e5d6-478f-ada8-1bf610f3bcb4,0ad530ce-53d2-454b-a3c8-bc71d50af2a7
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.372,2,0.3,-1.0196,4a1d603b-1abd-4165-bc4b-3480674d3f17,7f2564ed-a0be-410a-ad03-17eebf54dcbd,c1501176-6208-4087-9c61-6d1d04993c21,8c1cea74-2349-47a7-8519-d0ec1ed064f0
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,1044.63,3,0.0,240.2649,8e6607ee-33d0-43af-a8c1-3081f7d7a5c9,4dc71622-cdfc-4a3d-b1da-e1bae716f859,5116f1a6-0127-4865-9bac-29823fab25ea,75fa5848-3952-4e99-897b-6f8113e04d49
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.648,2,0.2,4.2224,621b2163-d63f-4585-aee2-53f869ff7faa,d2c7ea85-37eb-4763-b551-7ef129a0cfac,c1973895-6814-4ddb-bc02-1d14f62e52f9,302d82d4-47fb-476e-b5af-a5fe1c65646f
Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,90.57,3,0.0,11.7741,621b2163-d63f-4585-aee2-53f869ff7faa,d2c7ea85-37eb-4763-b551-7ef129a0cfac,b5a6b04c-7073-437e-b60c-f9df408ee69b,302d82d4-47fb-476e-b5af-a5fe1c65646f
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,4a1d603b-1abd-4165-bc4b-3480674d3f17,7f2564ed-a0be-410a-ad03-17eebf54dcbd,1a643d48-a302-4f67-baea-ea47160533b7,8ee79050-ef9d-4285-ad6f-baadb640abb9
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,4a1d603b-1abd-4165-bc4b-3480674d3f17,7f2564ed-a0be-410a-ad03-17eebf54dcbd,c1973895-6814-4ddb-bc02-1d14f62e52f9,8ee79050-ef9d-4285-ad6f-baadb640abb9
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.2,3,0.2,15.525,4a1d603b-1abd-4165-bc4b-3480674d3f17,7f2564ed-a0be-410a-ad03-17eebf54dcbd,a84c2a8a-3c6f-4a96-8a97-761ea48fc42c,8ee79050-ef9d-4285-ad6f-baadb640abb9
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,4a1d603b-1abd-4165-bc4b-3480674d3f17,7f2564ed-a0be-410a-ad03-17eebf54dcbd,3f7bebe9-c6dd-4d66-8a1e-204d4cef5663,8ee79050-ef9d-4285-ad6f-baadb640abb9
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.304,6,0.2,9.7092,4a1d603b-1abd-4165-bc4b-3480674d3f17,7f2564ed-a0be-410a-ad03-17eebf54dcbd,e1e2ad17-6d85-425e-874e-dc4ccc3118ff,8ee79050-ef9d-4285-ad6f-baadb640abb9
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.858,6,0.7,-5.715,4a1d603b-1abd-4165-bc4b-3480674d3f17,7f2564ed-a0be-410a-ad03-17eebf54dcbd,c1973895-6814-4ddb-bc02-1d14f62e52f9,8ee79050-ef9d-4285-ad6f-baadb640abb9
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2,0.2,3.546,4a1d603b-1abd-4165-bc4b-3480674d3f17,7f2564ed-a0be-410a-ad03-17eebf54dcbd,e1e2ad17-6d85-425e-874e-dc4ccc3118ff,8ee79050-ef9d-4285-ad6f-baadb640abb9
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,fe118c49-253b-4b6e-9b9e-8aeb9bc44743,106f9d3e-0351-4794-aecb-e7935a720a96,efe32969-3c1a-4c37-a0ae-35295a30cbb7,1d1a50d3-99b2-405b-ab32-8ea024b495d0
First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,1097.544,7,0.2,123.4737,b6ef701c-ab3d-44ee-9e7e-67a689743231,1124cff6-0c1d-4361-b958-bf62d4384ce8,cc4243b2-972f-46ae-99a0-79ad1b2b02e7,e755b706-0440-4135-b088-72fcb282f72e
First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,b6ef701c-ab3d-44ee-9e7e-67a689743231,1124cff6-0c1d-4361-b958-bf62d4384ce8,a84c2a8a-3c6f-4a96-8a97-761ea48fc42c,e755b706-0440-4135-b088-72fcb282f72e
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,d0a2cbbf-6340-4dd9-8e38-ad1a7650b04d,e5c927ae-a4e3-496d-8588-9b5582fb6762,3f7bebe9-c6dd-4d66-8a1e-204d4cef5663,1f6aae2a-5e33-4aa8-95cd-eaf9d93b8cd3
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,d0a2cbbf-6340-4dd9-8e38-ad1a7650b04d,e5c927ae-a4e3-496d-8588-9b5582fb6762,1a643d48-a302-4f67-baea-ea47160533b7,1f6aae2a-5e33-4aa8-95cd-eaf9d93b8cd3
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.147,d0a2cbbf-6340-4dd9-8e38-ad1a7650b04d,e5c927ae-a4e3-496d-8588-9b5582fb6762,c1501176-6208-4087-9c61-6d1d04993c21,1f6aae2a-5e33-4aa8-95cd-eaf9d93b8cd3
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,371.168,4,0.2,41.7564,d0a2cbbf-6340-4dd9-8e38-ad1a7650b04d,e5c927ae-a4e3-496d-8588-9b5582fb6762,cc4243b2-972f-46ae-99a0-79ad1b2b02e7,1f6aae2a-5e33-4aa8-95cd-eaf9d93b8cd3
Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,147.168,4,0.2,16.5564,ba43ce19-a60c-42f1-a631-81e0500418e1,e7e9ae9f-4a7c-494f-8772-a21005bad7b1,cc4243b2-972f-46ae-99a0-79ad1b2b02e7,7d773444-b665-4055-999e-b9eba3496774
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,0.0,3.894,621b2163-d63f-4585-aee2-53f869ff7faa,5bf2d866-a87b-4305-970e-7d9b5e2bcbea,b1035e3a-d289-47fd-997c-678681c45782,48a94fe4-f2ab-4463-abc6-84de6657bfa7
Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,95.616,2,0.2,9.5616,7454d4cb-0600-44e7-b7c7-f55e6e99981c,5631d9bf-37a6-48ea-9806-18a0205c4952,b1035e3a-d289-47fd-997c-678681c45782,fbcc7709-d96f-4e88-8f05-ec3d42c1e68b
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,0.0,19.7714,421e2fa4-4881-4090-86ae-df05e0b414cc,6147d2a2-06b1-4816-8ced-d07700b45e5e,b5a6b04c-7073-437e-b60c-f9df408ee69b,4f73e7cd-cf10-43fa-9200-14a33837e843
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,421e2fa4-4881-4090-86ae-df05e0b414cc,6147d2a2-06b1-4816-8ced-d07700b45e5e,c1973895-6814-4ddb-bc02-1d14f62e52f9,4f73e7cd-cf10-43fa-9200-14a33837e843
Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,8509edf3-75fd-4fa6-bbac-b463bb0c37c5,e6dcbf27-e83f-40a4-a6eb-9b4d61056d88,b1035e3a-d289-47fd-997c-678681c45782,0e72e54e-dd70-4b68-863f-ef875ea93d59
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,45.0,3,0.0,4.95,d173bc74-3b53-499c-846f-454a48771e6d,65b191e9-b0ac-4852-9db0-0fe1661b76e9,b5a6b04c-7073-437e-b60c-f9df408ee69b,29e96266-0b89-4c79-a26b-b28520c2d620
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,21.8,2,0.0,6.104,d173bc74-3b53-499c-846f-454a48771e6d,65b191e9-b0ac-4852-9db0-0fe1661b76e9,cc4243b2-972f-46ae-99a0-79ad1b2b02e7,29e96266-0b89-4c79-a26b-b28520c2d620
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,4f7c255c-fe21-4dd6-abb9-c0f5b32a1b85,90c71aa1-ad9b-4914-9eb8-dbb1bb76eba7,c1973895-6814-4ddb-bc02-1d14f62e52f9,3e709522-99c1-452e-a1a3-4bab55545f67
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,75.18,6,0.0,35.3346,4f7c255c-fe21-4dd6-abb9-c0f5b32a1b85,90c71aa1-ad9b-4914-9eb8-dbb1bb76eba7,396079af-2d9a-4a5c-a4b9-c518258c4e5a,3e709522-99c1-452e-a1a3-4bab55545f67
